,HTH
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.6674157303370787
Growth 1yr High Est,-0.6666666666666667
Growth 1yr Consensus Est,-0.6670411985018727
Growth 2yr Low Est,-0.36073489219556637
Growth 2yr High Est,-0.25268817204301075
Growth 2yr Consensus Est,-0.3067115321192886
Growth 5yr Low Est,0.02983561054779235
Growth 5yr High Est,0.08518556768924973
Growth 5yr Consensus Est,0.05751058911852104
Growth 5yr Actual/Est,0.06272082623691505
Growth 3yr Historic,0.22089984966712006
