,AEL
% Below High,0.1252
% Held by Institutions,0.9878
52-Wk Range,['28.05 - 44.49']
Annual Dividend $,0.36
Annual Dividend %,0.0092
Ask,39.24
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,
Bid Size,
Closing Price,38.92
Day Change $,-0.11
Day Change %,-0.0028000000000000004
Day High,39.41
Day Low,38.81
Dividend Pay Date,2022-12-13 00:00:00
"EPS (TTM, GAAP)",13.7
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.46799999999999997
Last (size),34.0
Last (time),5:00p ET 11/25/22
Market Cap,3.3B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",2.84
Prev Close,39.03
Shares Outstanding,85.7M
Short Interest,0.0147
Today's Open,39.33
Volume,203025.0
Volume 10-day Avg,466206.0
Volume Past Day,(Light)
