,AEL
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.19753086419753085
Growth 2yr High Est,0.26086956521739113
Growth 2yr Consensus Est,0.229200214707461
Growth 5yr Low Est,0.19753086419753085
Growth 5yr High Est,0.26086956521739113
Growth 5yr Consensus Est,0.229200214707461
Growth 5yr Actual/Est,0.6999171669080195
Growth 3yr Historic,0.5547403685092126
