,ALTO
Price/Earnings (TTM),10.05457
Price/Sales (TTM),0.19277
Price/Book (MRQ),0.80139
Price/Cash Flow (TTM),5.23826
5yr Low,0.22
5yr High,11.44
5yr Avg Return,0.9729833333333333
EPS Growth 5yr,1.8091409999999999
Revenue Growth 5yr,-0.057572599999999995
Dividend Growth 5yr,
Short Int Current Month,2246479.0
Short Int Prev Month,2732047.0
Short Int Pct of Float,0.0318784
Days to Cover,1.96978
Float,70.46928
Shares Outstanding,73.95611
Institutions Holding Shares,167.0
% Held by Institutions,0.520937
FCF Growth 5yr,-1.0169578042909282
