,ALTO
% Above Low,0.07400000000000001
% Held by Institutions,0.5209
52-Wk Range,['3.38 - 7.37']
Annual Dividend $,
Annual Dividend %,
Ask,3.72
Ask Size,200.0
B/A Ratio,4.0
B/A Size,800x200
Beta,2.4
Bid,3.65
Bid Size,800.0
Closing Price,3.63
Day Change $,-0.04
Day Change %,-0.0109
Day High,3.69
Day Low,3.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.36
Ex-dividend Date,No dividend
Historical Volatility,0.638
Last (size),800.0
Last (time),1:00p ET 11/25/22
Market Cap,268.5M
"P/E Ratio (TTM, GAAP)",10.05
Prev Close,3.67
Shares Outstanding,74.0M
Short Interest,0.0319
Today's Open,3.65
Volume,512559.0
Volume 10-day Avg,1041903.0
Volume Past Day,(Light)
