,MCRI
Price/Earnings (TTM),19.08732
Price/Sales (TTM),3.35714
Price/Book (MRQ),3.04042
Price/Cash Flow (TTM),12.35437
5yr Low,12.83
5yr High,94.26
5yr Avg Return,0.10891666666666668
EPS Growth 5yr,0.2043824
Revenue Growth 5yr,0.1274506
Dividend Growth 5yr,
Short Int Current Month,236977.0
Short Int Prev Month,331998.0
Short Int Pct of Float,0.0179491
Days to Cover,4.02734
Float,13.21191
Shares Outstanding,18.96164
Institutions Holding Shares,214.0
% Held by Institutions,0.611225
FCF Growth 5yr,0.36759453656590235
