,MCRI
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3141993957703926
Growth 1yr High Est,0.2954545454545454
Growth 1yr Consensus Est,0.304826970612469
Growth 2yr Low Est,0.16169739903462155
Growth 2yr High Est,0.23106060606060608
Growth 2yr Consensus Est,0.1963790025476138
Growth 5yr Low Est,0.30642341216098895
Growth 5yr High Est,0.3544191919191919
Growth 5yr Consensus Est,0.33042130204009046
Growth 5yr Actual/Est,0.47807563521379104
Growth 3yr Historic,0.3898235294117647
