,MCRI
% Below High,0.1202
% Held by Institutions,0.6112
52-Wk Range,['54.01 - 94.26']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,82.93
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.34
Ex-dividend Date,No dividend
Historical Volatility,0.469
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.09
Prev Close,82.93
Shares Outstanding,19.0M
Short Interest,0.0179
Today's Open,
Volume,38731.0
Volume 10-day Avg,58177.0
Volume Past Day,(Light)
