,SAM
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.5632183908045977
Growth 1yr High Est,-0.5413173652694611
Growth 1yr Consensus Est,-0.5522678780370294
Growth 2yr Low Est,0.02024838973701998
Growth 2yr High Est,0.0733360954331545
Growth 2yr Consensus Est,0.04679224258508724
Growth 5yr Low Est,0.14648783123214634
Growth 5yr High Est,0.20626603766632598
Growth 5yr Consensus Est,0.17637693444923616
Growth 5yr Actual/Est,1.3610539470936147
Growth 3yr Historic,-0.06988370649481046
