,SAM
% Above Low,0.3257
% Held by Institutions,0.815
52-Wk Range,['287.00 - 547.71']
Annual Dividend $,
Annual Dividend %,
Ask,381.45
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,379.52
Bid Size,200.0
Day Change $,3.42
Day Change %,0.0091
Day High,382.53
Day Low,377.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.16
Ex-dividend Date,No dividend
Historical Volatility,0.465
Last (size),100.0
Last (time),1:36p ET 11/28/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",174.71
Prev Close,377.07
Price,380.49
Shares Outstanding,12.3M
Short Interest,0.083
Today's Open,377.07
Volume Past Day,(Light)
