,SAM
Price/Earnings (TTM),174.707
Price/Sales (TTM),2.32866
Price/Book (MRQ),4.3166
Price/Cash Flow (TTM),43.40821
5yr Low,160.4
5yr High,1349.98
5yr Avg Return,0.3003166666666667
EPS Growth 5yr,-0.29652429999999996
Revenue Growth 5yr,0.17816120000000002
Dividend Growth 5yr,
Short Int Current Month,776050.0
Short Int Prev Month,815366.0
Short Int Pct of Float,0.0829626
Days to Cover,4.01826
Float,9.36411
Shares Outstanding,12.29514
Institutions Holding Shares,374.0
% Held by Institutions,0.814974
FCF Growth 5yr,-0.39912258107558723
