,PRG
% Above Low,0.5623
% Held by Institutions,0.9751000000000001
52-Wk Range,['12.11 - 47.25']
Annual Dividend $,
Annual Dividend %,
Ask,18.92
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,2.0
Bid,18.86
Bid Size,200.0
Day Change $,-0.01
Day Change %,-0.0005
Day High,18.98
Day Low,18.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.77
Ex-dividend Date,No dividend
Historical Volatility,0.688
Last (size),13.0
Last (time),11:26a ET 11/28/22
Market Cap,946.6M
"P/E Ratio (TTM, GAAP)",10.72
Prev Close,18.93
Price,18.92
Shares Outstanding,50.0M
Short Interest,0.053399999999999996
Today's Open,18.77
Volume Past Day,(Light)
