,PRG
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.4065656565656566
Growth 1yr High Est,-0.40452261306532655
Growth 1yr Consensus Est,-0.40554413481549156
Growth 2yr Low Est,-0.20753814743176446
Growth 2yr High Est,-0.10310518838920346
Growth 2yr Consensus Est,-0.15532166791048396
Growth 5yr Low Est,-0.08081049184010289
Growth 5yr High Est,-0.04207863586126842
Growth 5yr Consensus Est,-0.061444563850685655
Growth 5yr Actual/Est,-0.0728970770471592
Growth 3yr Historic,0.007229611415371984
