,ITRI
% Above Low,0.354
% Held by Institutions,1.0628
52-Wk Range,['39.38 - 70.67']
Annual Dividend $,
Annual Dividend %,
Ask,53.71
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,52.93
Bid Size,200.0
Closing Price,53.32
Day Change $,0.57
Day Change %,0.0108
Day High,53.56
Day Low,52.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.01
Ex-dividend Date,No dividend
Historical Volatility,0.517
Last (size),21.0
Last (time),1:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,52.75
Shares Outstanding,45.2M
Short Interest,0.0363
Today's Open,52.31
Volume,76280.0
Volume 10-day Avg,255284.0
Volume Past Day,(Light)
