,OPCH
Price/Earnings (TTM),29.39797
Price/Sales (TTM),1.36448
Price/Book (MRQ),3.92274
Price/Cash Flow (TTM),21.4824
5yr Low,5.74
5yr High,35.87
5yr Avg Return,0.2134166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.2973595
Dividend Growth 5yr,
Short Int Current Month,4263665.0
Short Int Prev Month,4955362.0
Short Int Pct of Float,0.027474
Days to Cover,2.94662
Float,155.1947
Shares Outstanding,181.9009
Institutions Holding Shares,371.0
% Held by Institutions,0.829379
FCF Growth 5yr,1.1416643017046166
