,OPCH
% Below High,0.19820000000000002
% Held by Institutions,0.8294
52-Wk Range,['21.32 - 35.87']
Annual Dividend $,
Annual Dividend %,
Ask,29.41
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,1.2
Bid,28.0
Bid Size,500.0
Closing Price,28.76
Day Change $,-0.08
Day Change %,-0.0028000000000000004
Day High,29.26
Day Low,28.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.98
Ex-dividend Date,No dividend
Historical Volatility,0.436
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,5.2B
"P/E Ratio (TTM, GAAP)",29.4
Prev Close,28.84
Shares Outstanding,181.9M
Short Interest,0.0275
Today's Open,28.65
Volume,831713.0
Volume 10-day Avg,1606687.0
Volume Past Day,(Light)
