,TDC
Price/Earnings (TTM),50.39888
Price/Sales (TTM),1.87137
Price/Book (MRQ),14.53414
Price/Cash Flow (TTM),16.20074
5yr Low,17.62
5yr High,59.58
5yr Avg Return,0.03805000000000001
EPS Growth 5yr,0.06494710000000001
Revenue Growth 5yr,-0.037608100000000005
Dividend Growth 5yr,
Short Int Current Month,4882581.0
Short Int Prev Month,5705012.0
Short Int Pct of Float,0.0485154
Days to Cover,3.05498
Float,100.7258
Shares Outstanding,101.8
Institutions Holding Shares,448.0
% Held by Institutions,0.925423
FCF Growth 5yr,
