,TDC
% Above Low,0.1459
% Held by Institutions,0.9254000000000001
52-Wk Range,['28.65 - 52.53']
Annual Dividend $,
Annual Dividend %,
Ask,33.2
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,20.0
Bid Size,100.0
Change Since Close,-0.38| |(-1.16%)
Closing Price,32.83
Day Change $,-0.59
Day Change %,-0.0177
Day High,33.5
Day Low,32.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.66
Ex-dividend Date,No dividend
Historical Volatility,0.436
Last (size),1.0
Last (time),4:00p ET 11/28/22
Last Trade,32.45
Market Cap,3.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",50.4
Prev Close,33.42
Shares Outstanding,101.8M
Short Interest,0.048499999999999995
Today's Open,33.3
Volume,572318.0
Volume 10-day Avg,1596535.0
Volume Past Day,(Light)
