,JNPR
Price/Earnings (TTM),24.95071
Price/Sales (TTM),2.01702
Price/Book (MRQ),2.39517
Price/Cash Flow (TTM),15.99795
5yr Low,15.2
5yr High,38.14
5yr Avg Return,0.04418333333333333
EPS Growth 5yr,-0.1299341
Revenue Growth 5yr,-0.010423199999999999
Dividend Growth 5yr,0.1486984
Short Int Current Month,8690606.0
Short Int Prev Month,8867045.0
Short Int Pct of Float,0.0271435
Days to Cover,2.57247
Float,320.1968
Shares Outstanding,324.5555
Institutions Holding Shares,734.0
% Held by Institutions,0.920283
FCF Growth 5yr,-0.8957401477084365
