,JNPR
% Below High,0.1605
% Held by Institutions,0.9203
52-Wk Range,['25.18 - 38.14']
Annual Dividend $,0.84
Annual Dividend %,0.0262
Ask,35.0
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,0.9
Bid,31.5
Bid Size,500.0
Closing Price,32.02
Day Change $,0.29
Day Change %,0.0091
Day High,32.15
Day Low,31.93
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",1.28
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.306
Last (size),8000.0
Last (time),5:00p ET 11/25/22
Market Cap,10.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.95
Prev Close,31.73
Shares Outstanding,324.6M
Short Interest,0.0271
Today's Open,32.01
Volume,1287791.0
Volume 10-day Avg,3142114.0
Volume Past Day,(Light)
