,BIGC
Price/Earnings (TTM),
Price/Sales (TTM),2.23045
Price/Book (MRQ),9.30435
Price/Cash Flow (TTM),
5yr Low,7.81
5yr High,162.5
5yr Avg Return,-0.42550000000000004
Short Int Current Month,4321330.0
Short Int Prev Month,5733791.0
Short Int Pct of Float,0.06250130000000001
Days to Cover,2.18417
Float,69.19928
Shares Outstanding,73.68094
Institutions Holding Shares,226.0
% Held by Institutions,0.712876
FCF Growth 5yr,0.5104326925297912
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
