,BIGC
% Above Low,0.0525
% Held by Institutions,0.7129000000000001
52-Wk Range,['7.81 - 49.31']
Annual Dividend $,
Annual Dividend %,
Ask,8.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,8.2
Bid Size,100.0
Closing Price,8.22
Day Change $,-0.23
Day Change %,-0.027200000000000002
Day High,8.55
Day Low,8.19
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.94
Ex-dividend Date,No dividend
Historical Volatility,0.929
Last (size),60.0
Last (time),12:59p ET 11/25/22
Market Cap,604.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.45
Shares Outstanding,73.7M
Short Interest,0.0625
Today's Open,8.38
Volume,333171.0
Volume 10-day Avg,1804207.0
Volume Past Day,(Light)
