,BIGC
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.31775700934579443
Growth 1yr High Est,0.1724137931034484
Growth 1yr Consensus Est,-0.07267160812117301
Growth 2yr Low Est,-0.1794264498783767
Growth 2yr High Est,-0.13438133874239344
Growth 2yr Consensus Est,-0.15690389431038507
Growth 5yr Low Est,-0.11961763325225112
Growth 5yr High Est,-0.08958755916159562
Growth 5yr Consensus Est,-0.10460259620692337
Growth 5yr Actual/Est,0.09584884321914093
Growth 3yr Historic,-0.1940928270042194
