,WFC
% Above Low,0.2857
% Held by Institutions,0.7299
52-Wk Range,['36.54 - 60.30']
Annual Dividend $,1.2
Annual Dividend %,0.0253
Ask,48.0
Ask Size,700.0
B/A Ratio,0.42857142857142855
B/A Size,300x700
Beta,1.2
Bid,44.0
Bid Size,300.0
Closing Price,46.98
Day Change $,-0.46
Day Change %,-0.0097
Day High,47.75
Day Low,46.92
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.85
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.34500000000000003
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,179.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.32
Prev Close,47.44
Shares Outstanding,3.8B
Short Interest,0.008
Today's Open,47.12
Volume,12493529.0
Volume 10-day Avg,12657887.0
Volume Past Day,(Average)
