,TRNS
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.13245033112582782
Growth 1yr High Est,-0.07741935483870976
Growth 1yr Consensus Est,-0.1049348429822688
Growth 2yr Low Est,0.09789697184166624
Growth 2yr High Est,0.1605910218813445
Growth 2yr Consensus Est,0.12924399686150537
Growth 5yr Low Est,0.09789697184166624
Growth 5yr High Est,0.1605910218813445
Growth 5yr Consensus Est,0.12924399686150537
Growth 5yr Actual/Est,0.1633069531429873
Growth 3yr Historic,0.10250359582883856
