,TRNS
% Below High,0.18780000000000002
% Held by Institutions,0.9065000000000001
52-Wk Range,['50.32 - 97.15']
Annual Dividend $,
Annual Dividend %,
Ask,127.24
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,78.74
Bid Size,100.0
Closing Price,78.91
Day Change $,-4.7
Day Change %,-0.0562
Day High,83.64
Day Low,78.75
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.33
Ex-dividend Date,No dividend
Historical Volatility,0.46299999999999997
Last (size),302.0
Last (time),4:00p ET 11/28/22
Market Cap,596.4M
"P/E Ratio (TTM, GAAP)",63.01
Prev Close,83.61
Shares Outstanding,7.6M
Short Interest,0.0218
Today's Open,83.64
Volume,29687.0
Volume 10-day Avg,32077.0
Volume Past Day,(Average)
