,PRMW
Price/Earnings (TTM),
Price/Sales (TTM),1.12392
Price/Book (MRQ),1.94652
Price/Cash Flow (TTM),11.71913
5yr Low,6.33
5yr High,20.12
5yr Avg Return,-0.012750000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.050166199999999994
Dividend Growth 5yr,0.0
Short Int Current Month,1482833.0
Short Int Prev Month,2333386.0
Short Int Pct of Float,0.009537799999999999
Days to Cover,1.17646
Float,155.6296
Shares Outstanding,160.7942
Institutions Holding Shares,283.0
% Held by Institutions,0.8781140000000001
FCF Growth 5yr,30.434915966386555
