,PRMW
% Below High,0.15410000000000001
% Held by Institutions,0.8781
52-Wk Range,['12.15 - 17.91']
Annual Dividend $,0.28
Annual Dividend %,0.0183
Ask,15.15
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,1.1
Bid,15.14
Bid Size,400.0
Day Change $,-0.1
Day Change %,-0.0066
Day High,15.26
Day Low,15.09
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",-0.19
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.327
Last (size),100.0
Last (time),11:34a ET 11/28/22
Market Cap,2.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.25
Price,15.15
Shares Outstanding,159.8M
Short Interest,0.0095
Today's Open,15.23
Volume Past Day,(Light)
