,APLS
Price/Earnings (TTM),
Price/Sales (TTM),49.84502
Price/Book (MRQ),18.31348
Price/Cash Flow (TTM),
5yr Low,11.45
5yr High,73.0
5yr Avg Return,0.3858166666666667
Short Int Current Month,10387056.0
Short Int Prev Month,9732254.0
Short Int Pct of Float,0.11129720000000001
Days to Cover,4.48355
Float,93.51853
Shares Outstanding,110.5755
Institutions Holding Shares,351.0
% Held by Institutions,0.881308
FCF Growth 5yr,0.28723375340615215
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
