,ABCL
Price/Earnings (TTM),16.91311
Price/Sales (TTM),6.41247
Price/Book (MRQ),3.09037
Price/Cash Flow (TTM),14.51938
5yr Low,5.42
5yr High,71.91
5yr Avg Return,-0.3495
Short Int Current Month,17800149.0
Short Int Prev Month,18230211.0
Short Int Pct of Float,0.08740719999999999
Days to Cover,6.68199
Float,203.8323
Shares Outstanding,286.1004
Institutions Holding Shares,233.0
% Held by Institutions,0.46252899999999997
FCF Growth 5yr,0.6161434353980506
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
