,ABCL
% Below High,0.1497
% Held by Institutions,0.4625
52-Wk Range,['5.42 - 15.90']
Annual Dividend $,
Annual Dividend %,
Ask,13.92
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,13.48
Bid Size,100.0
Closing Price,13.52
Day Change $,-0.48
Day Change %,-0.034300000000000004
Day High,14.14
Day Low,13.39
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.8
Ex-dividend Date,No dividend
Historical Volatility,0.685
Last (size),500.0
Last (time),12:59p ET 11/25/22
Market Cap,3.9B
"P/E Ratio (TTM, GAAP)",16.91
Prev Close,14.0
Shares Outstanding,286.1M
Short Interest,0.0874
Today's Open,13.98
Volume,598559.0
Volume 10-day Avg,1898602.0
Volume Past Day,(Light)
