,PSTG
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.05555555555555558
Growth 2yr High Est,0.17741935483870974
Growth 2yr Consensus Est,0.06093189964157708
Growth 5yr Low Est,-0.05555555555555558
Growth 5yr High Est,0.17741935483870974
Growth 5yr Consensus Est,0.06093189964157708
Growth 5yr Actual/Est,0.792561700751356
Growth 3yr Historic,0.6349137931034483
