,PSTG
% Below High,0.18510000000000001
% Held by Institutions,0.8403
52-Wk Range,['21.90 - 36.71']
Annual Dividend $,
Annual Dividend %,
Ask,29.92
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.3
Bid,29.91
Bid Size,300.0
Day Change $,-0.545
Day Change %,-0.0179
Day High,30.68
Day Low,29.9
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.05
Ex-dividend Date,No dividend
Historical Volatility,0.45799999999999996
Last (size),100.0
Last (time),11:44a ET 11/28/22
Market Cap,8.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,30.46
Price,29.92
Shares Outstanding,298.9M
Short Interest,0.0866
Today's Open,30.25
Volume Past Day,(Light)
