,PSTG
Price/Earnings (TTM),
Price/Sales (TTM),3.5868
Price/Book (MRQ),11.95427
Price/Cash Flow (TTM),116.8258
5yr Low,7.93
5yr High,36.71
5yr Avg Return,0.10211666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.241584
Dividend Growth 5yr,
Short Int Current Month,24346562.0
Short Int Prev Month,24003598.0
Short Int Pct of Float,0.0866208
Days to Cover,6.76631
Float,281.0581
Shares Outstanding,298.9182
Institutions Holding Shares,526.0
% Held by Institutions,0.840324
FCF Growth 5yr,0.3131407363795648
