,UCBI
% Below High,0.0296
% Held by Institutions,0.8674
52-Wk Range,['27.85 - 39.50']
Annual Dividend $,0.88
Annual Dividend %,0.0225
Ask,38.67
Ask Size,6200.0
B/A Ratio,0.016129032258064516
B/A Size,100x6200
Beta,1.0
Bid,38.08
Bid Size,100.0
Closing Price,38.33
Day Change $,-0.8
Day Change %,-0.0204
Day High,38.89
Day Low,37.92
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",2.33
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.29600000000000004
Last (size),5.0
Last (time),4:00p ET 11/28/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.78
Prev Close,39.13
Shares Outstanding,106.2M
Short Interest,0.0166
Today's Open,38.47
Volume,352698.0
Volume 10-day Avg,535379.0
Volume Past Day,(Light)
