,UCBI
Next Earnings Announcement,2023-01-17 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.10264900662251653
Growth 1yr High Est,-0.112540192926045
Growth 1yr Consensus Est,-0.10759459977428076
Growth 2yr Low Est,0.04830649299870482
Growth 2yr High Est,0.08141106295726741
Growth 2yr Consensus Est,0.06485877797798612
Growth 5yr Low Est,0.09680281914892508
Growth 5yr High Est,0.1187646032085915
Growth 5yr Consensus Est,0.10778371117875829
Growth 5yr Actual/Est,0.12729930815008375
Growth 3yr Historic,0.09813470842882607
