,UCBI
Price/Earnings (TTM),16.77592
Price/Sales (TTM),5.05679
Price/Book (MRQ),1.6366
Price/Cash Flow (TTM),
5yr Low,14.95
5yr High,39.5
5yr Avg Return,0.07225000000000001
EPS Growth 5yr,0.1620894
Revenue Growth 5yr,0.1155542
Dividend Growth 5yr,0.21058330000000003
Short Int Current Month,1752894.0
Short Int Prev Month,2240838.0
Short Int Pct of Float,0.016604300000000002
Days to Cover,3.20595
Float,105.5741
Shares Outstanding,106.1698
Institutions Holding Shares,336.0
% Held by Institutions,0.8674240000000001
FCF Growth 5yr,0.25001006659037756
