,AVT
Price/Earnings (TTM),5.79988
Price/Sales (TTM),0.16216
Price/Book (MRQ),1.03692
Price/Cash Flow (TTM),4.7866
5yr Low,17.85
5yr High,50.19
5yr Avg Return,0.025250000000000005
EPS Growth 5yr,0.27644369999999996
Revenue Growth 5yr,0.0686867
Dividend Growth 5yr,0.0739409
Short Int Current Month,4753490.0
Short Int Prev Month,5021373.0
Short Int Pct of Float,0.0523248
Days to Cover,6.97768
Float,90.89776
Shares Outstanding,91.5173
Institutions Holding Shares,456.0
% Held by Institutions,0.9780840000000001
FCF Growth 5yr,1.5845875719054512
