,AVT
% Below High,0.10060000000000001
% Held by Institutions,0.9781
52-Wk Range,['35.45 - 50.19']
Annual Dividend $,1.16
Annual Dividend %,0.025699999999999997
Ask,45.51
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,1.4
Bid,44.77
Bid Size,100.0
Closing Price,45.14
Day Change $,-0.07
Day Change %,-0.0015
Day High,45.36
Day Low,44.85
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",7.78
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.33299999999999996
Last (size),57.0
Last (time),1:00p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.8
Prev Close,45.21
Shares Outstanding,91.5M
Short Interest,0.052300000000000006
Today's Open,45.0
Volume,146557.0
Volume 10-day Avg,512343.0
Volume Past Day,(Light)
