,OSIS
Price/Earnings (TTM),14.63944
Price/Sales (TTM),1.28505
Price/Book (MRQ),2.41108
Price/Cash Flow (TTM),10.30686
5yr Low,49.96
5yr High,117.21
5yr Avg Return,0.019983333333333332
EPS Growth 5yr,0.4323957
Revenue Growth 5yr,0.0424951
Dividend Growth 5yr,
Short Int Current Month,325763.0
Short Int Prev Month,350109.0
Short Int Pct of Float,0.0206377
Days to Cover,3.46907
Float,15.90118
Shares Outstanding,16.85476
Institutions Holding Shares,262.0
% Held by Institutions,0.924665
FCF Growth 5yr,-0.8512362704118187
