,OSIS
% Below High,0.1419
% Held by Institutions,0.9247
52-Wk Range,['69.31 - 103.17']
Annual Dividend $,
Annual Dividend %,
Ask,89.11
Ask Size,700.0
B/A Ratio,1.0
B/A Size,700x700
Beta,0.8
Bid,88.44
Bid Size,700.0
Day Change $,-0.8261
Day Change %,-0.0092
Day High,89.04
Day Low,88.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.1
Ex-dividend Date,No dividend
Historical Volatility,0.262
Last (size),5.0
Last (time),9:39a ET 11/28/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.64
Prev Close,89.36
Price,88.53
Shares Outstanding,16.9M
Short Interest,0.0206
Today's Open,89.04
Volume Past Day,(Light)
