,OPRX
Price/Earnings (TTM),
Price/Sales (TTM),5.40061
Price/Book (MRQ),2.69209
Price/Cash Flow (TTM),
5yr Low,3.36
5yr High,99.18
5yr Avg Return,0.5874166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.5121849
Dividend Growth 5yr,
Short Int Current Month,1134457.0
Short Int Prev Month,1100717.0
Short Int Pct of Float,0.0763344
Days to Cover,3.67875
Float,14.86787
Shares Outstanding,17.15272
Institutions Holding Shares,191.0
% Held by Institutions,0.772529
FCF Growth 5yr,5.126437990812742
