,OPRX
% Above Low,0.48610000000000003
% Held by Institutions,0.7725
52-Wk Range,['13.33 - 69.84']
Annual Dividend $,
Annual Dividend %,
Ask,21.91
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,19.0
Bid Size,100.0
Closing Price,19.81
Day Change $,-0.06
Day Change %,-0.003
Day High,20.23
Day Low,19.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.8029999999999999
Last (size),751.0
Last (time),3:59p ET 11/28/22
Market Cap,339.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,19.87
Shares Outstanding,17.2M
Short Interest,0.07629999999999999
Today's Open,19.73
Volume,113064.0
Volume 10-day Avg,222217.0
Volume Past Day,(Light)
