,DCO
% Below High,0.1213
% Held by Institutions,0.8291
52-Wk Range,['38.89 - 58.18']
Annual Dividend $,
Annual Dividend %,
Ask,80.28
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,1.3
Bid,33.63
Bid Size,400.0
Closing Price,51.12
Day Change $,-0.09
Day Change %,-0.0018
Day High,52.6
Day Low,51.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.72
Ex-dividend Date,No dividend
Historical Volatility,0.35100000000000003
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,618.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.77
Prev Close,51.21
Shares Outstanding,12.1M
Short Interest,0.0083
Today's Open,51.55
Volume,9961.0
Volume 10-day Avg,29939.0
Volume Past Day,(Light)
