,DCO
Price/Earnings (TTM),4.76924
Price/Sales (TTM),0.89778
Price/Book (MRQ),1.21597
Price/Cash Flow (TTM),3.81534
5yr Low,16.27
5yr High,65.4
5yr Avg Return,0.12688333333333335
EPS Growth 5yr,0.3768756
Revenue Growth 5yr,0.0322709
Dividend Growth 5yr,
Short Int Current Month,90236.0
Short Int Prev Month,79478.0
Short Int Pct of Float,0.0082629
Days to Cover,1.91649
Float,10.91862
Shares Outstanding,12.10237
Institutions Holding Shares,164.0
% Held by Institutions,0.829097
FCF Growth 5yr,0.6843200338595533
