,DCO
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.1715328467153283
Growth 1yr High Est,0.10810810810810811
Growth 1yr Consensus Est,0.1398204774117182
Growth 2yr Low Est,0.13405302771903493
Growth 2yr High Est,0.11198088332234679
Growth 2yr Consensus Est,0.12301695552069086
Growth 5yr Low Est,0.09344401709502764
Growth 5yr High Est,0.07816623125641564
Growth 5yr Consensus Est,0.08580512417572164
Growth 5yr Actual/Est,0.07439523421483438
Growth 3yr Historic,0.021706864564007416
