,WMB
% Below High,0.1183
% Held by Institutions,0.8348
52-Wk Range,['24.86 - 37.97']
Annual Dividend $,1.7
Annual Dividend %,0.0501
Ask,34.08
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,32.87
Bid Size,100.0
Closing Price,33.48
Day Change $,-0.42
Day Change %,-0.0124
Day High,33.63
Day Low,33.19
Dividend Pay Date,2022-12-26 00:00:00
"EPS (TTM, GAAP)",1.64
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.289
Last (size),1100.0
Last (time),7:00p ET 11/28/22
Market Cap,40.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",20.72
Prev Close,33.9
Shares Outstanding,1.2B
Short Interest,0.0161
Today's Open,33.33
Volume,5807460.0
Volume 10-day Avg,5552558.0
Volume Past Day,(Average)
