,APH
Price/Earnings (TTM),27.07466
Price/Sales (TTM),3.85231
Price/Book (MRQ),7.29319
Price/Cash Flow (TTM),21.06905
5yr Low,31.53
5yr High,88.45
5yr Avg Return,0.1165
EPS Growth 5yr,0.13960699999999998
Revenue Growth 5yr,0.1158757
Dividend Growth 5yr,0.16970179999999999
Short Int Current Month,5620250.0
Short Int Prev Month,5140354.0
Short Int Pct of Float,0.009500399999999999
Days to Cover,2.19205
Float,591.6324
Shares Outstanding,595.0945
Institutions Holding Shares,1267.0
% Held by Institutions,0.948292
FCF Growth 5yr,0.5039412076306916
