,APH
% Below High,0.0917
% Held by Institutions,0.9483
52-Wk Range,['61.67 - 88.45']
Annual Dividend $,0.84
Annual Dividend %,0.0105
Ask,88.34
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,45.0
Bid Size,100.0
Closing Price,80.34
Day Change $,0.27
Day Change %,0.0034000000000000002
Day High,80.68
Day Low,79.73
Dividend Pay Date,2023-01-11 00:00:00
"EPS (TTM, GAAP)",2.97
Ex-dividend,2022-12-19 00:00:00
Ex-dividend Date,12/19/22
Historical Volatility,0.292
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,47.8B
"P/E Ratio (TTM, GAAP)",27.07
Prev Close,80.07
Shares Outstanding,595.1M
Short Interest,0.0095
Today's Open,80.0
Volume,793690.0
Volume 10-day Avg,2099770.0
Volume Past Day,(Light)
