,REI
% Above Low,0.354
% Held by Institutions,0.5677
52-Wk Range,['2.02 - 5.09']
Annual Dividend $,
Annual Dividend %,
Ask,2.74
Ask Size,4500.0
B/A Ratio,2.577777777777778
B/A Size,11600x4500
Beta,2.0
Bid,2.73
Bid Size,11600.0
Day Change $,-0.065
Day Change %,-0.0232
Day High,2.76
Day Low,2.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.0
Ex-dividend Date,No dividend
Historical Volatility,0.7040000000000001
Last (size),420.0
Last (time),12:31p ET 11/28/22
Market Cap,477.0M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",2.79
Prev Close,2.8
Price,2.74
Shares Outstanding,174.4M
Short Interest,0.1905
Today's Open,2.72
Volume Past Day,(Average)
