,REI
Price/Earnings (TTM),2.79377
Price/Sales (TTM),1.58959
Price/Book (MRQ),0.7279
Price/Cash Flow (TTM),2.52269
5yr Low,0.4301
5yr High,17.35
5yr Avg Return,0.13966666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.447888
Dividend Growth 5yr,
Short Int Current Month,16857215.0
Short Int Prev Month,16814566.0
Short Int Pct of Float,0.1905223
Days to Cover,4.95554
Float,147.7961
Shares Outstanding,174.4113
Institutions Holding Shares,142.0
% Held by Institutions,0.5676570000000001
FCF Growth 5yr,0.748445308022971
