,REI
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,0.5818181818181818
Growth 1yr High Est,0.4307692307692308
Growth 1yr Consensus Est,0.5062937062937063
Growth 2yr Low Est,0.38286311389759664
Growth 2yr High Est,0.306782464846981
Growth 2yr Consensus Est,0.34482278937228883
Growth 5yr Low Est,0.19143155694879832
Growth 5yr High Est,0.1533912324234905
Growth 5yr Consensus Est,0.17241139468614441
Growth 5yr Actual/Est,1.5945803979730564
Growth 3yr Historic,1.0715517241379309
