,SXC
Price/Earnings (TTM),6.85729
Price/Sales (TTM),0.37727
Price/Book (MRQ),1.1956
Price/Cash Flow (TTM),2.77783
5yr Low,2.33
5yr High,14.32
5yr Avg Return,-0.01111666666666667
EPS Growth 5yr,0.18320160000000002
Revenue Growth 5yr,0.035441799999999996
Dividend Growth 5yr,
Short Int Current Month,1144628.0
Short Int Prev Month,1501446.0
Short Int Pct of Float,0.0138558
Days to Cover,1.29862
Float,82.63653
Shares Outstanding,83.40231
Institutions Holding Shares,250.0
% Held by Institutions,0.848158
FCF Growth 5yr,0.7913682298521477
