,SXC
% Below High,0.16399999999999998
% Held by Institutions,0.8482
52-Wk Range,['5.72 - 9.82']
Annual Dividend $,0.32
Annual Dividend %,0.0388
Ask,8.21
Ask Size,1100.0
B/A Ratio,3.727272727272727
B/A Size,4100x1100
Beta,1.2
Bid,8.2
Bid Size,4100.0
Day Change $,-0.04
Day Change %,-0.0048
Day High,8.27
Day Low,8.0
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",1.2
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.429
Last (size),100.0
Last (time),3:49p ET 11/28/22
Market Cap,684.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",6.86
Prev Close,8.25
Price,8.21
Shares Outstanding,83.4M
Short Interest,0.0139
Today's Open,8.08
Volume Past Day,(Light)
