,SXC
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-29.000000000000004
Growth 1yr High Est,-32.5
Growth 1yr Consensus Est,-30.75
Growth 2yr Low Est,-14.687500000000002
Growth 2yr High Est,-16.46031746031746
Growth 2yr Consensus Est,-15.573908730158731
Growth 5yr Low Est,-9.791666666666668
Growth 5yr High Est,-10.973544973544973
Growth 5yr Consensus Est,-10.38260582010582
Growth 5yr Actual/Est,inf
Growth 3yr Historic,inf
