,SHC
% Above Low,0.41090000000000004
% Held by Institutions,0.8725
52-Wk Range,['5.78 - 24.90']
Annual Dividend $,
Annual Dividend %,
Ask,8.16
Ask Size,1500.0
B/A Ratio,0.5333333333333333
B/A Size,800x1500
Beta,
Bid,8.15
Bid Size,800.0
Day Change $,0.005
Day Change %,0.0006
Day High,8.25
Day Low,8.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.43
Ex-dividend Date,No dividend
Historical Volatility,0.7320000000000001
Last (size),100.0
Last (time),2:11p ET 11/28/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",18.89
Prev Close,8.15
Price,8.16
Shares Outstanding,282.1M
Short Interest,0.07980000000000001
Today's Open,8.1
Volume Past Day,(Light)
