,SHC
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.08139534883720945
Growth 1yr High Est,0.0674157303370786
Growth 1yr Consensus Est,0.07440553958714402
Growth 2yr Low Est,0.062203050762690726
Growth 2yr High Est,0.10212891780011835
Growth 2yr Consensus Est,0.08216598428140454
Growth 5yr Low Est,0.062203050762690726
Growth 5yr High Est,0.10212891780011835
Growth 5yr Consensus Est,0.08216598428140454
Growth 5yr Actual/Est,0.41972153142365914
Growth 3yr Historic,0.3650793650793651
