,SHC
Price/Earnings (TTM),18.88541
Price/Sales (TTM),2.31463
Price/Book (MRQ),3.78954
Price/Cash Flow (TTM),8.44118
5yr Low,5.78
5yr High,30.38
5yr Avg Return,-0.2608333333333333
Short Int Current Month,7818980.0
Short Int Prev Month,5792943.0
Short Int Pct of Float,0.0798088
Days to Cover,4.51299
Float,273.6358
Shares Outstanding,282.1135
Institutions Holding Shares,250.0
% Held by Institutions,0.872508
FCF Growth 5yr,0.46844644080094505
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
