,TLS
% Above Low,0.13
% Held by Institutions,0.6163000000000001
52-Wk Range,['3.35 - 17.28']
Annual Dividend $,
Annual Dividend %,
Ask,3.77
Ask Size,100.0
Ask close,4.65
B/A Ratio,25.0
B/A Size,2500x100
Beta,
Bid,3.76
Bid Size,2500.0
Bid close,2.9
Change Since Close,-0.07| |(-1.85%)
Closing Price,3.78
Day Change $,-0.06
Day Change %,-0.015600000000000001
Day High,3.99
Day Low,3.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.57
Ex-dividend Date,No dividend
Historical Volatility,1.37
Last (size),1.0
Last (time),4:00p ET 11/28/22
Last Trade,3.71
Market Cap,254.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,3.84
Shares Outstanding,67.2M
Short Interest,0.047599999999999996
Today's Open,3.87
Volume,812264.0
Volume 10-day Avg,2069926.0
Volume Past Day,(Light)
