,TLS
Price/Earnings (TTM),
Price/Sales (TTM),1.10486
Price/Book (MRQ),1.4598
Price/Cash Flow (TTM),
5yr Low,3.35
5yr High,41.84
5yr Avg Return,-0.26203333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.1244407
Dividend Growth 5yr,
Short Int Current Month,1977349.0
Short Int Prev Month,1423643.0
Short Int Pct of Float,0.0476175
Days to Cover,0.71877
Float,41.8507
Shares Outstanding,67.21062
Institutions Holding Shares,173.0
% Held by Institutions,0.616271
FCF Growth 5yr,0.4368614053401448
