,ICPT
Price/Earnings (TTM),
Price/Sales (TTM),2.03304
Price/Book (MRQ),5.68122
Price/Cash Flow (TTM),
5yr Low,10.81
5yr High,133.74
5yr Avg Return,-0.04393333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.7087386999999999
Dividend Growth 5yr,
Short Int Current Month,3984633.0
Short Int Prev Month,4170792.0
Short Int Pct of Float,0.0993954
Days to Cover,4.55507
Float,40.09038
Shares Outstanding,41.41713
Institutions Holding Shares,221.0
% Held by Institutions,0.7581669999999999
FCF Growth 5yr,0.5442396828994335
