,ICPT
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.6931155192532089
Growth 1yr High Est,-1.9283887468030692
Growth 1yr Consensus Est,-1.310752133028139
Growth 2yr Low Est,0.18956391337719786
Growth 2yr High Est,-1.4524863844208182
Growth 2yr Consensus Est,-0.6314612355218102
Growth 5yr Low Est,0.0376262411170418
Growth 5yr High Est,-0.7486529710229819
Growth 5yr Consensus Est,-0.35551336495297003
Growth 5yr Actual/Est,-1.3106218762494186
Growth 3yr Historic,-0.22250876984362922
