,ICPT
% Above Low,0.3663
% Held by Institutions,0.7582
52-Wk Range,['10.81 - 21.25']
Annual Dividend $,
Annual Dividend %,
Ask,16.0
Ask Size,400.0
B/A Ratio,3.75
B/A Size,1500x400
Beta,1.1
Bid,14.56
Bid Size,1500.0
Closing Price,14.77
Day Change $,-0.04
Day Change %,-0.0027
Day High,14.99
Day Low,14.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.07
Ex-dividend Date,No dividend
Historical Volatility,0.7809999999999999
Last (size),64.0
Last (time),1:00p ET 11/25/22
Market Cap,611.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,14.81
Shares Outstanding,41.4M
Short Interest,0.09939999999999999
Today's Open,14.65
Volume,164371.0
Volume 10-day Avg,506926.0
Volume Past Day,(Light)
