,APPN
% Above Low,0.13720000000000002
% Held by Institutions,0.7797
52-Wk Range,['33.02 - 77.77']
Annual Dividend $,
Annual Dividend %,
Ask,37.91
Ask Size,600.0
B/A Ratio,0.6666666666666666
B/A Size,400x600
Beta,1.6
Bid,37.26
Bid Size,400.0
Closing Price,37.55
Day Change $,-0.02
Day Change %,-0.0005
Day High,37.85
Day Low,37.04
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.97
Ex-dividend Date,No dividend
Historical Volatility,0.855
Last (size),15.0
Last (time),12:59p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,37.57
Shares Outstanding,72.5M
Short Interest,0.10859999999999999
Today's Open,37.34
Volume,85323.0
Volume 10-day Avg,531925.0
Volume Past Day,(Light)
